Type,Title,Summary,Author,Publication Date
Correspondence,Are brains rewired for caring during pregnancy? Why the jury’s out,N/A,"Kathryn L. Humphreys, Autumn Kujawa",20-Aug-24
Correspondence,Iran’s presidential election is no breakthrough for reform or for science,N/A,"Ali Arab, Rana Dadpour, Encieh Erfani",20-Aug-24
Correspondence,Iran’s election is an opportunity for Western nations to revive science diplomacy,N/A,"James Miller, Seyed Mohammad Reza Hashemian",20-Aug-24
Correspondence,More studies are needed on the long-term environmental consequences of war,N/A,Patrick B. Newcombe,20-Aug-24
News,The citation black market: schemes selling fake references alarm scientists,The ways in which researchers can artificially inflate their reference counts are growing.,Dalmeet Singh Chawla,20-Aug-24
News Feature,How ‘green’ electricity from wood harms the planet — and people,Many nations have embraced burning wood pellets to produce electricity — under the assumption that it is carbon neutral. But research shows this approach can boost greenhouse-gas emissions and threaten the health of local communities.,Melba Newsome,20-Aug-24
Where I Work,How I stoked my passion for oceanography in Chile’s waters,Geophysicist Natalia Cisternas embarked on a 37-day voyage to document microbes in a low-oxygen region of the Pacific Ocean.,Nikki Forrester,19-Aug-24
Research Highlight,The Amazon is relinquishing its carbon — for a surprising reason,"Degradation of the Amazon’s tree canopy is the main culprit, although the complete clearance of portions of the forest contributes too.","N, /, A",19-Aug-24
Research Highlight,These decoy ‘female’ fireflies lure males to their doom in a spider’s embrace,Certain spiders take advantage of the fact that a male firefly can flash even after being bitten and wrapped.,"N, /, A",19-Aug-24
Nature Index,Gender bias might be working at level of whole disciplines,Study adds to growing body of evidence that such biases can affect all researchers in a field.,Holly Else,19-Aug-24
Career Q&A,‘There’s a lot of privilege masquerading as merit’: why inclusion matters in academia,"Frankie Heyward explains why he founded the National Black Postdoctoral Association, and why researchers must honestly evaluate their privilege.",Esme Hedley,19-Aug-24
News & Views,Primordial black holes are too scarce to explain dark matter,A decades-long survey of a nearby galaxy has detected signals consistent with ancient black holes that could explain dark matter — but the objects would have to be at least ten times more abundant to support the theory.,Eamonn Kerins,19-Aug-24
News,"UK’s new science minister on budget battles, Brexit and AI leadership",Former clinical scientist Patrick Vallance speaks toNatureabout his priorities as the minister overseeing the nation’s research.,Elizabeth Gibney,19-Aug-24
News,"Five ways the brain can age: 50,000 scans reveal possible patterns of damage",Results raise hopes that methods could be developed to detect the earliest stages of neurodegenerative disease.,Michael Eisenstein,19-Aug-24
News,PlayStation is good for you: video games improved mental health during COVID,But whether these findings apply more broadly remains to be seen.,Gemma Conroy,19-Aug-24
Comment,Can floating homes make coastal communities resilient to climate risks?,"Building sustainable settlements on the water is a feasible option for climate adaptation, as long as people and ecosystems are protected.","Idowu Ajibade, Sameer H. Shah",19-Aug-24
Technology Feature,Cash for catching scientific errors,The ERROR project offers researchers a bounty for spotting mistakes in published papers — a strategy borrowed from the software industry.,Julian Nowogrodzki,19-Aug-24
News,These labs have prepared for a big earthquake — will it be enough?,Natureasked scientists about the measures they put in place to safeguard their research in case of disaster.,Anna Ikarashi,18-Aug-24
Research Highlight,Child with ultra-rare disease gets a treatment just for her,Therapy designed for one seems to have improved a young girl’s quality of life.,"N, /, A",16-Aug-24
Book Review,Bee hieroglyphs and more: Books in brief,Andrew Robinson reviews five of the best science picks.,Andrew Robinson,16-Aug-24
News,Hopes dashed for drug aimed at monkeypox virus spreading in Africa,Early results from clinical trial show that the antiviral drug tecovirimat is no better than placebo against the clade I virus type.,Mariana Lenharo,16-Aug-24
Futures,Field observations ofAmbula tarduson Planet IN-409,Make haste — slowly.,Rebecca Roland,16-Aug-24
News,The mysteries of inflammatory bowel disease are being cracked — offering hope for new therapies,Advances in understanding the causes of the autoimmune disorder could aid in matching people with the right treatment.,Heidi Ledford,16-Aug-24
Article,Structure of a fully assembled γδ T-cell antigen receptor,N/A,"Benjamin S. Gully, João Ferreira Fernandes, Simon J. Davis",15-Aug-24
News,Jupiter mission will attempt first-ever fly-by that harnesses Earth and Moon’s gravity,The JUICE spacecraft will slingshot around the Moon and Earth in quick succession on its way to Jupiter’s moons.,Elizabeth Gibney,15-Aug-24
Career Feature,How to win funding to talk about your science,"Many researchers describe public outreach as a labour of love, often carried out in their spare time. But some funders reward these activities.",Hannah Docter-Loeb,15-Aug-24
Nature Briefing,Daily briefing: Stonehenge’s altar is surprisingly Scottish,"Part of Stonehenge came from far afield, many comatose people are conscious and how ChatGPT can be most useful to scientists.",Flora Graham,15-Aug-24
News,Dinosaur-killing Chicxulub asteroid formed in Solar System’s outer reaches,Rock samples hold clues to origin of impactor that sparked a mass extinction 66 million years ago.,Michael Marshall,15-Aug-24
News,"‘Unacceptable’: a staggering 4.4 billion people lack safe drinking water, study finds","New estimate doubles the previous figure, raising questions about which is correct and highlighting gaping data holes.",Alix  Soliman,15-Aug-24
World View,How I’m looking to medicine’s past to heal hurt and support peace in the Middle East,"In this traumatized region, exploring a rich history of scientific and medical problem-solving provides the context to imagine a better future.",Navid Madani,15-Aug-24
Article,Encoding of female mating dynamics by a hypothalamic line attractor,N/A,"Mengyu Liu, Aditya Nair, David J. Anderson",14-Aug-24
Article,Causal evidence of a line attractor encoding an affective state,N/A,"Amit Vinograd, Aditya Nair, David J. Anderson",14-Aug-24
Author Correction,Author Correction: piRNA processing by a trimeric Schlafen-domain nuclease,N/A,"Nadezda Podvalnaya, Alfred W. Bronkhorst, René F. Ketting",14-Aug-24
Nature Video,A Scottish origin for Stonehenge's Altar Stone,"Geologists have found the provenance for Stonehenge's central Altar Stone, in the Orcadian Basin in Scotland",Emily Bates,14-Aug-24
Research Highlight,How to train your crocodile,Doctored toad carcasses teach crocs to avoid eating the toxin-producing cane toad.,"N, /, A",14-Aug-24
Article,Remodelling of the translatome controls diet and its impact on tumorigenesis,"During fasting, hepatocytes selectively remodel the translatome while global translation is downregulated, showing a new signalling property of fatty acids and that, on a ketogenic diet, treatment with eFT508 (also known as tomivosertib; a P-eIF4E inhibitor) restrains pancreatic tumour growth.","Haojun Yang, Vincenzo Andrea Zingaro, Davide Ruggero",14-Aug-24
Article,Mitochondrial complex I promotes kidney cancer metastasis,Studying changes in the metabolic properties of kidney cancer in patients reveals an increased need for mitochondrial metabolism as tumors metastasize from the kidney to distant organs.,"Divya Bezwada, Luigi Perelli, Ralph J. DeBerardinis",14-Aug-24
Article,A Scottish provenance for the Altar Stone of Stonehenge,"Mineral ages and chemical analysis of fragments of the Altar Stone from the Neolithic stone circle at Stonehenge suggest that it was transported from northeast Scotland, more than 750 km away, probably by sea.","Anthony J. I. Clarke, Christopher L. Kirkland, Rob A. Ixer",14-Aug-24
Article,Molecular architecture of coronavirus double-membrane vesicle pore complex,A study details the molecular architecture of the double-membrane-spanning pore formed by the proteins nsp3 and nsp4 in double-membrane vesicles of SARS-CoV-2.,"Yixin Huang, Tongyun Wang, Tao Ni",14-Aug-24
Article,Human organoids with an autologous tissue-resident immune compartment,"We combined human intestinal immuno-organoids and single-cell transcriptomics to investigate intestinal inflammation triggered by cancer-targeting biologics, which was associated with an activated population of CD8+T cells that progressively acquired intraepithelial and cytotoxic features.","Timothy Recaldin, Linda Steinacher, Nikolche Gjorevski",14-Aug-24
Article,Structural basis for the activity of the type VII CRISPR–Cas system,"We describe the structure and activity of Cas14 nuclease, a component of the type VII CRISPR–Cas interference complex with Cas5 and Cas7, in different functional states.","Jie Yang, Xuzichao Li, Heng Zhang",14-Aug-24
Article,Origin and evolution of the bread wheat D genome,Analysis of 46 newly sequenced or re-sequenced Tausch’s goatgrass (Aegilops tauschii) accessions establishes the origin of the bread wheat (Triticum aestivum) D genome from genetically and geographically discreteAe. tauschiisubpopulations.,"Emile Cavalet-Giorsa, Andrea González-Muñoz, Simon G. Krattinger",14-Aug-24
Article,Substrate binding and inhibition mechanism of norepinephrine transporter,Structures of human NET in the apo state and bound to meta-iodobenzylguanidine and radafaxine provide insights into the mechanism of substrate recognition and orthosteric inhibition of hNET.,"Wenming Ji, Anran Miao, Jing-Xiang Wu",14-Aug-24
Article,Abstract representations emerge in human hippocampal neurons during inference,"A task in which participants learned to perform inference led to the formation of hippocampal representations whose geometric properties reflected the latent structure of the task, indicating that abstract or disentangled neural representations are important for complex cognition.","Hristos S. Courellis, Juri Minxha, Ueli Rutishauser",14-Aug-24
Article,Continuously fluctuating selection reveals fine granularity of adaptation,"Natural environmental and ecological shifts impose sufficiently strong selection to drive exceptionally rapid, parallel and fluctuating adaptive tracking in aDrosophila melangastermesocosm.","M. C. Bitter, S. Berardi, D. A. Petrov",14-Aug-24
Article,On-chip topological beamformer for multi-link terahertz 6G to XG wireless,"An on-chip topological beamformer for multi-link terahertz 6G to XG wireless communication achieves complete 360° azimuthal beamforming with gains of up to 20 dBi, radiating THz signals into free space with neural-network-driven customizable beams enabling up to eight simultaneous 40-Gbps wireless links.","Wenhao Wang, Yi Ji Tan, Ranjan Singh",14-Aug-24
Article,De novo design of allosterically switchable protein assemblies,"We investigate the de novo design of allostery and suggest that it can arise from global coupling of the energetics of protein substructures without optimized allosteric communication pathways, providing a roadmap for the design of switchable molecular systems.","Arvind Pillai, Abbas Idris, David Baker",14-Aug-24
Article,Twist-assisted all-antiferromagnetic tunnel junction in the atomic limit,"By twisting two bilayers of CrSBr, which is a 2D antiferromagnet, a >700% nonvolatile tunnelling magnetoresistance at zero field is shown, demonstrating a new strategy for constructing all-antiferromagnetic tunnel junctions down to the atomic limit.","Yuliang Chen, Kartik Samanta, Stuart S. P. Parkin",14-Aug-24
Article,A hot-emitter transistor based on stimulated emission of heated carriers,"A mixed-dimensional hot-emitter transistor based on mixed-dimensional graphene/germanium Schottky junctions uses stimulated emission of heated carriers, achieving an ultralow subthreshold swing and a high negative differential resistance.","Chi Liu, Xin-Zhe Wang, Hui-Ming Cheng",14-Aug-24
Article,Recognition and control of neutrophil extracellular trap formation by MICL,How MICL recognizes and autoregulates the formation of neutrophil extracellular traps is explored in mouse models and human patients where disease severity is associated with aberrant neutrophil extracellular trap formation.,"Mariano Malamud, Lauren Whitehead, Gordon D. Brown",14-Aug-24
Article,Unimolecular net heterolysis of symmetric and homopolar σ-bonds,"Net heterolysis of symmetric and homopolar σ-bonds by stimulated doublet–doublet electron transfer is reported in a series of atypical SN1 reactions, in which selenides show SDET-induced nucleofugalities rivalling those of more electronegative halides or diazoniums.","Anna F. Tiefel, Daniel J. Grenda, Alexander Breder",14-Aug-24
Article,Growth of complete ammonia oxidizers on guanidine,"Nitrospira inopinataand probably most other comammox microorganisms can grow on the non-conventional substrate guanidine as the sole source of energy, reductant and nitrogen.","Marton Palatinszky, Craig W. Herbold, Michael Wagner",14-Aug-24
Article,Precision spectroscopy on9Be overcomes limitations from nuclear structure,"A high-precision measurement of the shielding effects of multiple electrons on the nuclear magnetic moment is made possible by spectroscopy of hydrogen-like9Be3+, which overcomes limitations from the nuclear structure.","Stefan Dickopf, Bastian Sikora, Klaus Blaum",14-Aug-24
