Token,Posting List
$17-billion,916 -->
$450-million,412 -->
&,393 -->461 -->547 -->642 -->722 -->789 -->884 -->988 -->
'saunas’,627 -->
(soma),878 -->
(‘peterson’s,965 -->
"1,001",965 -->
"1,500",6 -->
1/2,905 -->
14,311 -->
15-minute,568 -->582 -->
150,542 -->771 -->
1974,716 -->
"2,000",616 -->
"2,023",205 -->
2.3,833 -->
200,939 -->
200:,383 -->
2021,285 -->
2024,331 -->487 -->497 -->
2024:,818 -->
2026,648 -->
2027,802 -->
2050,808 -->
2200bcein,910 -->
2d,50 -->215 -->
2d-magnesium-intercalated,926 -->
"3,000",867 -->
30,186 -->
3d,520 -->535 -->609 -->702 -->
4-nm-resolution,282 -->
4.2,475 -->
4.4,108 -->
40,798 -->
400-year,228 -->
44,99 -->
460,728 -->
"50,000",92 -->
"51,200",597 -->
6,613 -->
60,99 -->
6000-year-old,5 -->
6g,125 -->
6th,947 -->
"70,000",971 -->
"8,000",68 -->
800,149 -->
a,2 -->12 -->13 -->14 -->15 -->21 -->31 -->34 -->48 -->52 -->57 -->78 -->83 -->85 -->86 -->88 -->96 -->97 -->103 -->108 -->110 -->111 -->112 -->113 -->117 -->128 -->137 -->141 -->150 -->157 -->158 -->160 -->162 -->165 -->170 -->182 -->194 -->203 -->213 -->218 -->224 -->227 -->234 -->237 -->250 -->255 -->259 -->266 -->268 -->270 -->271 -->279 -->293 -->301 -->309 -->311 -->332 -->338 -->343 -->344 -->345 -->346 -->347 -->353 -->361 -->365 -->373 -->377 -->378 -->379 -->380 -->386 -->388 -->395 -->399 -->403 -->408 -->416 -->418 -->419 -->422 -->428 -->430 -->431 -->438 -->446 -->460 -->466 -->471 -->479 -->480 -->484 -->486 -->491 -->492 -->496 -->505 -->514 -->516 -->520 -->530 -->538 -->550 -->553 -->558 -->561 -->572 -->577 -->586 -->587 -->601 -->605 -->606 -->610 -->618 -->627 -->635 -->643 -->646 -->647 -->650 -->653 -->658 -->662 -->665 -->666 -->675 -->680 -->688 -->694 -->700 -->718 -->720 -->725 -->728 -->740 -->742 -->746 -->756 -->765 -->769 -->770 -->779 -->787 -->793 -->808 -->824 -->825 -->838 -->844 -->848 -->849 -->851 -->852 -->868 -->870 -->873 -->874 -->875 -->876 -->882 -->886 -->902 -->905 -->907 -->908 -->912 -->922 -->923 -->924 -->929 -->942 -->952 -->953 -->955 -->959 -->960 -->972 -->976 -->978 -->986 -->988 -->
aaa+,666 -->
abandoning,459 -->
abatement,24 -->
ability,65 -->
about,53 -->105 -->152 -->225 -->309 -->386 -->477 -->642 -->815 -->951 -->
above,787 -->
absorb,372 -->
abstract,123 -->
abundance,42 -->
academia,88 -->630 -->
academic,153 -->388 -->651 -->700 -->
academics,482 -->552 -->785 -->
academic’s,271 -->
accelerating,431 -->
acceleration,817 -->
accelerator,395 -->
acceptors,800 -->
access,580 -->613 -->880 -->
accessible,660 -->
accounts,971 -->
accretion,26 -->136 -->
accumulation,193 -->936 -->
accuracy,460 -->
accurate,489 -->
accurately,165 -->
accusations,984 -->
acetyl-coa,933 -->
acetylcholine,289 -->
achieves,460 -->
acid-sensing,525 -->
acidaemia,905 -->
acknowledgements,447 -->
across,523 -->524 -->746 -->794 -->875 -->876 -->996 -->
act,188 -->313 -->685 -->
actin,909 -->
action:,873 -->
actionable,804 -->
actions,940 -->
activation,200 -->432 -->666 -->
activators,855 -->
actively,977 -->
activity,120 -->421 -->446 -->678 -->875 -->887 -->
acts,525 -->662 -->
actually,765 -->
acute,134 -->
adaptation,124 -->427 -->514 -->
adapts,859 -->
add,851 -->
addiction,229 -->
adding,426 -->674 -->
address,774 -->
adenosine,608 -->
aderin-pocock,483 -->
adhesive,392 -->838 -->
administration,368 -->
adopt,253 -->
adult,218 -->495 -->797 -->
adulthood,523 -->
advanced,50 -->384 -->
advances,402 -->
adventure:,651 -->
advisers,897 -->
aegyptimosquitoes,30 -->
aerial,439 -->
afar,554 -->
affect,142 -->882 -->
affective,111 -->
affects,458 -->546 -->787 -->955 -->
affordable,418 -->
afraid,644 -->
africa,100 -->248 -->907 -->
african,457 -->976 -->
after,80 -->281 -->390 -->409 -->651 -->728 -->738 -->771 -->906 -->971 -->
against,31 -->481 -->483 -->741 -->
age,5 -->99 -->298 -->340 -->589 -->594 -->638 -->876 -->
age:,92 -->
aged,662 -->
ageing,14 -->53 -->81 -->314 -->
agency,814 -->
agnes,636 -->
ago,475 -->542 -->597 -->833 -->867 -->
agreement:,457 -->
agricultural,982 -->
agriculture’s,774 -->
ahead,466 -->
ahr–jun,318 -->511 -->
